"- this is the best choice 
                                    if you plan to sell on Amazon.","- this is the best choice 
                                    if you plan to sell on Amazon."
Create an Amazon Supply Chain account,Create an Amazon Supply Chain account
" - this is the best choice if you 
                                    don't plan to sell on Amazon."," - this is the best choice if you 
                                    don't plan to sell on Amazon."
 Want more information?, Want more information?
 Contact us, Contact us
2. Make sure you are an approved seller on Amazon.,2. Make sure you are an approved seller on Amazon.
"Verify with Amazon that no restrictions exist for your 
                                products and/or categories.","Verify with Amazon that no restrictions exist for your 
                                products and/or categories."
More info,More info
3. Configure Seller Central shipping method.,3. Configure Seller Central shipping method.
"To set up shipping methods to fulfill your Amazon orders,
                                    navigate to","To set up shipping methods to fulfill your Amazon orders,
                                    navigate to"
Settings > Shipping Settings,Settings > Shipping Settings
in your Amazon Seller Central account,in your Amazon Seller Central account
Magento,Magento
1. Enable background tasks in Magento.,1. Enable background tasks in Magento.
"Enable Magento cron. For maximum performance, 
                                        set Magento cron to run once every 5 minutes.","Enable Magento cron. For maximum performance, 
                                        set Magento cron to run once every 5 minutes."
2. Increase number of automatic catalog matches.,2. Increase number of automatic catalog matches.
"Attributes help match your Magento products 
                                to Amazon listings. ","Attributes help match your Magento products 
                                to Amazon listings. "
Create an attribute,Create an attribute
"for one or more of the following unique 
                                identifiers with their respective values: ASIN, UPC, EAN ISBN, GCID","for one or more of the following unique 
                                identifiers with their respective values: ASIN, UPC, EAN ISBN, GCID"
"3. If your products have more than one listing condition 
                                (e.g.: new, used, refurbished, etc.):","3. If your products have more than one listing condition 
                                (e.g.: new, used, refurbished, etc.):"
Create a product attribute,Create a product attribute
that contains the product condition.,that contains the product condition.
"4. If your Amazon store uses a different
                                     currency than your Magento store:","4. If your Amazon store uses a different
                                     currency than your Magento store:"
Enable the currency,Enable the currency
and,and
set the currency conversion rate.,set the currency conversion rate.
STEP 1,STEP 1
Connect account,Connect account
Connect your Amazon account to your Magento store.,Connect your Amazon account to your Magento store.
Not connected,Not connected
Successfully connected,Successfully connected
Connect,Connect
Are you sure to delete the store?,Are you sure to delete the store?
Delete,Delete
Are you sure to disconnect the store?,Are you sure to disconnect the store?
Disconnect,Disconnect
Proceed to SKU Mapping,Proceed to SKU Mapping
"Connect your Amazon store to your 
            Magento store to create a single source for your catalog.","Connect your Amazon store to your 
            Magento store to create a single source for your catalog."
Amazon Store Country,Amazon Store Country
Magento Website,Magento Website
Add,Add
SKU,SKU
Fullfilled by Amazon,Fullfilled by Amazon
Error: Some SKUs were not imported. Please view error log,Error: Some SKUs were not imported. Please view error log
here,here
Follow the 3 steps below to map SKUs:,Follow the 3 steps below to map SKUs:
Download sample .csv ,Download sample .csv 
Populate sample .csv file with your Magento product SKUs ,Populate sample .csv file with your Magento product SKUs 
"NOTE: Item-name, seller-sku are mandatory fields","NOTE: Item-name, seller-sku are mandatory fields"
Click UPLOAD button below to import ,Click UPLOAD button below to import 
* Only .csv file types are supported,* Only .csv file types are supported
STEP 3,STEP 3
Shipping Rate,Shipping Rate
"Enabling Shipping Rate Override will 
                override the shipping rates for the listed Amazon ship speeds based on your settings below.","Enabling Shipping Rate Override will 
                override the shipping rates for the listed Amazon ship speeds based on your settings below."
Shipping rate override,Shipping rate override
"Enabling Shipping Rate Override will override the 
                                                        shipping rates for the listed Amazon ship speeds 
                                                        based on your settings below.","Enabling Shipping Rate Override will override the 
                                                        shipping rates for the listed Amazon ship speeds 
                                                        based on your settings below."
Shipping rate,Shipping rate
"Adjusting shipping rates will only override Amazon 
                                                        shipping fees for your customer's orders and will 
                                                        not change your fulfillment fees.","Adjusting shipping rates will only override Amazon 
                                                        shipping fees for your customer's orders and will 
                                                        not change your fulfillment fees."
On orders over,On orders over
Shipping rate applies to the order amount above this.,Shipping rate applies to the order amount above this.
Description,Description
Order Status Sync,Order Status Sync
Auto sync,Auto sync
Order status sync,Order status sync
Inventory sync,Inventory sync
Fulfillment Settings,Fulfillment Settings
Make Amazon exclusive shipper,Make Amazon exclusive shipper
"
                                                    When YES is selected - and amazon can complete shipping for ALL items in the cart - 
                                                    Amazon will be the exclusive shipping option. When NO is selected, customer may select either 
                                                    Magento default shipping methods, or Amazon MCF options","
                                                    When YES is selected - and amazon can complete shipping for ALL items in the cart - 
                                                    Amazon will be the exclusive shipping option. When NO is selected, customer may select either 
                                                    Magento default shipping methods, or Amazon MCF options"
Enable backup ship option for partial MCF orders,Enable backup ship option for partial MCF orders
"When Amazon cannot complete shipping for all items in the cart (ie, Product SKUs are not mapped) items will be fulfilled by Active Magento methods selected below.","When Amazon cannot complete shipping for all items in the cart (ie, Product SKUs are not mapped) items will be fulfilled by Active Magento methods selected below."
Active Shipping,Active Shipping
Default shipping speed for partial MCF orders,Default shipping speed for partial MCF orders
Merchant agrees to fulfill partial MCF orders with the selected shipping speed for the %1,Merchant agrees to fulfill partial MCF orders with the selected shipping speed for the %1
SKUS,SKUS
ENABLED,ENABLED
DISABLED,DISABLED
NOT,NOT
MAPPED,MAPPED
"Once your Magento and Amazon SKUs are mapped, you can Enable or Disable Amazon to complete fulfillment of your product. If MCF Fulfillment Status = ""Enabled"", Amazon will complete fulfillment, if items are available in inventory.","Once your Magento and Amazon SKUs are mapped, you can Enable or Disable Amazon to complete fulfillment of your product. If MCF Fulfillment Status = ""Enabled"", Amazon will complete fulfillment, if items are available in inventory."
1. Connect account,1. Connect account
Account,Account
2. SKU mapping,2. SKU mapping
Map your Magento SKUs to your Amazon SKUs.,Map your Magento SKUs to your Amazon SKUs.
Map your Magento SKUs to your Amazon SKUs,Map your Magento SKUs to your Amazon SKUs
SKU mapping,SKU mapping
3. Shipping rates,3. Shipping rates
"Edit shipping rules based on ship speed.
                            When a customer makes a purchase at checkout, the customer will pay the MCF rate for the MCF items if no rules are enabled.","Edit shipping rules based on ship speed.
                            When a customer makes a purchase at checkout, the customer will pay the MCF rate for the MCF items if no rules are enabled."
Shipping rates,Shipping rates
4. Settings,4. Settings
"Manage your Amazon MCF inventory sync, 
                                        order status sync and backup shipping settings here.","Manage your Amazon MCF inventory sync, 
                                        order status sync and backup shipping settings here."
Map all Magento SKUs that you would like Amazon MCF to fulfill.,Map all Magento SKUs that you would like Amazon MCF to fulfill.
Need help?,Need help?
Connecting..!!,Connecting..!!
Please wait to connect,Please wait to connect
"Connected your Amazon account to your Magento store. 
            Please go back to the set up section and refresh the page","Connected your Amazon account to your Magento store. 
            Please go back to the set up section and refresh the page"
Order tracking Alona,Order tracking Alona
Tracking Number:,Tracking Number:
Carrier:,Carrier:
Error:,Error:
Tracking information is currently not available. Please ,Tracking information is currently not available. Please 
contact us,contact us
 for more information or , for more information or 
email us at ,email us at 
Info:,Info:
Track:,Track:
%1:,%1:
N/A,N/A
Carrier Code,Carrier Code
carrierCode,carrierCode
Tracking Number,Tracking Number
trackingNumber,trackingNumber
Package Number,Package Number
packageNumber,packageNumber
Tracking Url,Tracking Url
carrierURL,carrierURL
Track,Track
Shipment #,Shipment #
There is no tracking available for this shipment.,There is no tracking available for this shipment.
There is no tracking available.,There is no tracking available.
Close Window,Close Window
New Amazon Store,New Amazon Store
Close,Close
Field ,Field 
 is required., is required.
Amazon MCF,Amazon MCF
Setup,Setup
Help,Help
Amazon Shipping,Amazon Shipping
Title,Title
Magento SKU,Magento SKU
Amazon SKU,Amazon SKU
Country,Country
Amazon Product Name,Amazon Product Name
Check for more SKUs,Check for more SKUs
"If you proceed, then the selected items will be eligible for Amazon fulfillment. Are you sure you want to enable MCF fulfillment status for selected items?","If you proceed, then the selected items will be eligible for Amazon fulfillment. Are you sure you want to enable MCF fulfillment status for selected items?"
Disable,Disable
"If you proceed, then the selected items will not be eligible for the Amazon Fulfillment. Are you sure you want to disable MCF fulfillment status for selected items?","If you proceed, then the selected items will not be eligible for the Amazon Fulfillment. Are you sure you want to disable MCF fulfillment status for selected items?"
Mapping Status,Mapping Status
MCF Fulfillment Status,MCF Fulfillment Status
SKU Mapping ,SKU Mapping 
 , 
"If you proceed, then the selected items will be deleted. Are you sure you want to delete for selected items?","If you proceed, then the selected items will be deleted. Are you sure you want to delete for selected items?"
Area,Area
Type,Type
Details,Details
User,User
Time,Time
Fulfillment Provider,Fulfillment Provider
